,Address,NoOfBedrooms,NoOfBathrooms,AreaSqYards
2173,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,120
6054,other,6.0,6.0,240
17197,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",6.0,6.0,240
497,"Bahria Town Karachi, Karachi",2.0,2.0,35
16605,"Clifton - Block 8, Clifton",2.0,1.0,67
17473,"Shahra-e-Faisal, Karachi",2.0,2.0,128
12785,other,6.0,6.0,250
15389,"Federal B Area - Block 15, Federal B Area",2.0,2.0,72
15869,"Nishat Commercial Area, DHA Phase 6",2.0,2.0,100
15477,"Falcon Complex New Malir, Malir",5.0,5.0,500
15637,"HMR Waterfront, DHA Phase 8",2.0,3.0,219
7762,"Sector 31 - Punjabi Saudagar City Phase 2, Scheme 33 - Sector 31",2.0,2.0,78
7020,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
7951,"DHA Phase 7 Extension, DHA Defence",3.0,4.0,100
17724,"Nazimabad - Block 5C, Nazimabad",2.0,2.0,78
17490,"DHA Phase 6, DHA Defence",2.0,2.0,111
15596,"DHA Phase 5, DHA Defence",3.0,3.0,200
9132,"Bahria Sports City, Bahria Town Karachi",4.0,5.0,350
1227,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
17110,"DHA Phase 6, DHA Defence",3.0,3.0,222
6844,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
15952,other,3.0,3.0,150
14441,"PECHS Block 2, PECHS",2.0,2.0,100
17411,"Gulistan-e-Jauhar - Block 11, Gulistan-e-Jauhar",3.0,3.0,178
12385,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
9686,"Falcon Complex New Malir, Malir",5.0,5.0,500
15689,"PECHS Block 2, PECHS",5.0,5.0,200
12362,"North Nazimabad - Block N, North Nazimabad",10.0,8.0,500
14043,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",5.0,5.0,400
14158,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",2.0,2.0,101
5646,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
2272,"Bahria Town Karachi, Karachi",4.0,4.0,60
17826,"Defence View Society, Karachi",3.0,3.0,233
4152,other,2.0,2.0,106
18125,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,300
2678,"Askari 5, Malir Cantonment",4.0,4.0,333
7627,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,3.0,400
12077,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
3027,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
17418,"DHA Phase 6, DHA Defence",6.0,6.0,666
15242,"DHA Phase 2 Extension, DHA Defence",3.0,4.0,244
4972,"Askari 5, Malir Cantonment",3.0,3.0,286
5691,"Allahwala Town - Sector 31-G, Allahwala Town",3.0,2.0,83
8141,"Shahmir Residency, University Road",4.0,4.0,120
7007,"DHA Phase 8, DHA Defence",6.0,8.0,500
2571,"Navy Housing Scheme Karsaz - Phase 1, Navy Housing Scheme Karsaz",5.0,6.0,350
753,"Creek Vista, DHA Phase 8",3.0,4.0,361
12180,"Korangi - Sector 31-G, Korangi",2.0,1.0,50
12913,other,3.0,4.0,196
327,"Bahria Heights, Bahria Town Karachi",3.0,2.0,122
1433,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Scheme 33 - Sector 25-A",4.0,4.0,120
248,other,2.0,2.0,100
13667,"Clifton - Block 8, Clifton",4.0,4.0,250
2551,"Bahria Town - Precinct 4, Bahria Town Karachi",6.0,7.0,500
13802,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,3.0,133
10591,"Creek Vista, DHA Phase 8",4.0,5.0,467
1128,"Saadi Town - Block 2, Saadi Town",8.0,6.0,400
15654,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",2.0,2.0,87
8528,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
16242,"Bahria Town - Precinct 15, Bahria Town Karachi",3.0,3.0,125
14250,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
403,"Navy Housing Scheme Karsaz, Karachi",5.0,5.0,389
3495,other,2.0,2.0,130
11269,"Emaar Crescent Bay, DHA Phase 8",2.0,3.0,182
4594,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",3.0,3.0,150
1048,"Askari 5, Malir Cantonment",3.0,3.0,286
19033,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,200
4321,other,2.0,2.0,100
4745,"Bahria Town - Precinct 9, Bahria Town Karachi",5.0,5.0,500
11747,"DHA Phase 8, DHA Defence",4.0,4.0,418
19296,"De Comforts, Federal B Area - Block 8",3.0,4.0,178
6893,"Model Colony - Malir, Malir",4.0,6.0,131
15486,"Falcon Complex New Malir, Malir",5.0,5.0,500
2965,"DHA Phase 7, DHA Defence",6.0,8.0,500
16380,"Falcon Complex New Malir, Malir",5.0,5.0,500
10077,"Mohammad Ali Society, Gulshan-e-Iqbal Town",5.0,5.0,475
17407,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar",5.0,4.0,267
5000,"Korangi - Sector 31-G, Korangi",2.0,2.0,42
17934,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,4.0,200
11880,"Ittehad Commercial Area, DHA Phase 6",3.0,3.0,139
13463,"Shaheed Millat Road, Karachi",4.0,4.0,248
1450,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
1745,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,108
9664,"Askari 5, Malir Cantonment",4.0,4.0,330
6199,"North Nazimabad - Block C, North Nazimabad",3.0,3.0,200
16842,"DHA Phase 8, DHA Defence",1.0,2.0,153
2936,"Falcon Complex New Malir, Malir",5.0,6.0,350
16223,"DHA Phase 6, DHA Defence",5.0,5.0,500
18155,"Saima Jinnah Avenue, Malir",2.0,3.0,144
7128,"Naya Nazimabad - Block A, Naya Nazimabad",2.0,2.0,141
6348,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
2370,"State Bank of Pakistan Housing Society, Scheme 33 - Sector 17-A",2.0,2.0,167
17179,"Badar Commercial Area, DHA Phase 5",2.0,2.0,111
2339,other,4.0,4.0,222
6556,other,4.0,5.0,120
434,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
16702,"Clifton - Block 9, Clifton",3.0,3.0,200
9673,"Askari 5 - Sector B, Askari 5",5.0,5.0,500
7365,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar",3.0,3.0,172
4554,"Saima Arabian Villas, Gadap Town",4.0,4.0,160
3480,"Gulshan-e-Iqbal - Block 13/D, Gulshan-e-Iqbal",3.0,3.0,200
12113,"Bahria Apartments, Bahria Town Karachi",3.0,3.0,250
12398,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
3536,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",6.0,6.0,178
18179,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",6.0,6.0,207
17488,"DHA Phase 6, DHA Defence",3.0,3.0,222
9279,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
8406,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
7557,other,5.0,2.0,120
16361,"Civil Lines, Karachi",4.0,4.0,289
17965,other,3.0,3.0,240
7134,"Gulistan-e-Jauhar - Block 19, Gulistan-e-Jauhar",2.0,2.0,78
7899,"DHA Phase 2 Extension, DHA Defence",3.0,3.0,133
14954,"Gulshan-e-Maymar - Sector T, Gulshan-e-Maymar",6.0,6.0,240
16273,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,350
11165,other,2.0,2.0,76
17932,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",2.0,3.0,106
15474,"Bahria Town Karachi, Karachi",3.0,3.0,190
3063,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
6457,"Garden East, Jamshed Town",2.0,2.0,83
4734,"North Nazimabad - Block J, North Nazimabad",7.0,6.0,233
17743,"Creek Vista, DHA Phase 8",4.0,4.0,622
13609,"Clifton - Block 2, Clifton",4.0,4.0,278
17099,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
16230,"Chapal Courtyard, Karachi",2.0,2.0,83
1883,"Bahria Town - Precinct 1, Bahria Town Karachi",5.0,6.0,272
6639,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",6.0,6.0,240
16642,other,4.0,4.0,160
11572,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
7117,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
5435,"Clifton - Block 2, Clifton",4.0,4.0,230
8185,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
594,"DHA Phase 6, DHA Defence",4.0,4.0,500
456,"Bahria Town Karachi, Karachi",3.0,3.0,125
17676,"Askari 5 - Sector J, Askari 5",6.0,5.0,375
14332,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
2916,"North Nazimabad - Block L, North Nazimabad",3.0,3.0,280
7006,"Sanober Twin Tower, Saadi Road",3.0,3.0,183
10453,"DHA Phase 8, DHA Defence",6.0,6.0,500
879,"Emaar The Views, DHA Phase 8",2.0,3.0,212
8926,"North Nazimabad - Block F, North Nazimabad",4.0,4.0,217
6087,"Model Colony - Malir, Malir",4.0,4.0,120
7490,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",3.0,3.0,240
6825,"Jinnah Avenue, Karachi",2.0,3.0,161
18732,other,3.0,3.0,139
7911,"DHA Phase 2 Extension, DHA Defence",3.0,3.0,117
12289,"North Nazimabad - Block D, North Nazimabad",2.0,2.0,156
9935,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
18586,"PECHS Block 2, PECHS",2.0,2.0,120
16590,"Gulistan-e-Jauhar, Karachi",6.0,6.0,240
7205,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",2.0,2.0,89
2899,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
1317,"DHA Phase 7, DHA Defence",3.0,3.0,150
18475,other,3.0,3.0,139
5194,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
8089,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,350
5104,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar",6.0,8.0,400
7447,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",3.0,3.0,161
5004,"Allahwala Town - Sector 31-G, Allahwala Town",2.0,2.0,42
6733,other,3.0,3.0,144
16941,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
11639,"Clifton, Karachi",3.0,4.0,228
17598,"DHA Phase 6, DHA Defence",2.0,2.0,100
4666,"Emaar The Views, DHA Phase 8",4.0,4.0,412
5804,"PECHS, Jamshed Town",2.0,2.0,117
7878,"DHA Phase 6, DHA Defence",3.0,3.0,133
13533,"Gulzar-e-Hijri, Scheme 33",2.0,2.0,99
3668,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
16261,"DHA Phase 8, DHA Defence",6.0,7.0,500
18559,other,3.0,3.0,240
16760,"DHA Phase 6, DHA Defence",4.0,4.0,250
4137,"Bahria Town - Precinct 19, Bahria Town Karachi",1.0,1.0,50
4365,"North Nazimabad - Block D, North Nazimabad",4.0,4.0,450
15401,"Clifton - Block 7, Clifton",3.0,3.0,200
9508,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
1899,"Gulshan-e-Iqbal Town, Karachi",2.0,3.0,152
11599,"Civil Lines, Karachi",3.0,3.0,294
11327,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",3.0,3.0,200
17173,"Diamond City, Gulshan-e-Maymar",8.0,5.0,100
9945,"Gulshan-e-Ghazian, Scheme 33 - Sector 51-A",2.0,2.0,80
4715,"Karachi Administration Employees Society, Jamshed Town",2.0,2.0,110
7270,"PECHS Block 2, PECHS",6.0,6.0,200
1485,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
7271,"North Nazimabad - Block B, North Nazimabad",6.0,6.0,133
15856,"Gulistan-e-Jauhar - Block 11, Gulistan-e-Jauhar",2.0,2.0,200
14718,"Bukhari Commercial Area, DHA Phase 6",3.0,4.0,161
12211,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",6.0,6.0,300
4208,"Clifton - Block 5, Clifton",3.0,3.0,222
3441,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,4.0,139
993,"Askari 4, Gulistan-e-Jauhar",3.0,3.0,256
3748,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",6.0,6.0,240
14274,"Falcon Complex New Malir, Malir",4.0,4.0,350
15779,"DHA Phase 6, DHA Defence",3.0,3.0,133
4585,"Malir Cantonment, Cantt",8.0,6.0,550
13482,"DHA Phase 1, DHA Defence",3.0,4.0,267
6896,"Model Colony - Malir, Malir",4.0,6.0,131
18757,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",3.0,3.0,240
1509,"Federal B Area - Block 10, Federal B Area",6.0,6.0,400
13814,"DHA Phase 6, DHA Defence",5.0,6.0,500
17030,other,2.0,2.0,83
2570,"Navy Housing Scheme Karsaz - Phase 1, Navy Housing Scheme Karsaz",5.0,6.0,350
10455,"DHA Phase 5, DHA Defence",3.0,4.0,256
16039,"North Nazimabad - Block F, North Nazimabad",3.0,3.0,217
11389,"Grey Noor Tower & Shopping Mall, Scheme 33",3.0,3.0,128
4595,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",3.0,3.0,150
19216,"Shadman Town - Sector-14/B, Shadman",3.0,3.0,144
13780,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,111
15708,"Bahria Town - Precinct 9, Bahria Town Karachi",6.0,7.0,500
3818,other,4.0,4.0,185
3023,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
7647,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
18119,"DHA Phase 5, DHA Defence",5.0,6.0,570
3245,"Model Colony - Malir, Malir",4.0,6.0,131
17963,other,3.0,3.0,180
11252,"Clifton - Block 1, Clifton",3.0,4.0,178
4961,"Bukhari Commercial Area, DHA Phase 6",3.0,3.0,122
16505,"Emaar Panorama, DHA Phase 8",1.0,2.0,161
6654,"HMR Waterfront, DHA Phase 8",1.0,2.0,101
14339,"Bath Island, Karachi",4.0,4.0,372
1730,"State Bank of Pakistan Housing Society, Scheme 33 - Sector 17-A",4.0,4.0,120
2215,"North Nazimabad - Block L, North Nazimabad",2.0,2.0,122
615,"Bahria Town - Precinct 4, Bahria Town Karachi",5.0,5.0,500
3283,"Askari 5 - Sector J, Askari 5",3.0,4.0,304
5850,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",3.0,3.0,178
12282,other,2.0,2.0,92
7172,"Safari Enclave Apartments, University Road",3.0,4.0,178
764,"Bahria Town Karachi, Karachi",5.0,5.0,500
17507,"Bahadurabad, Gulshan-e-Iqbal Town",3.0,3.0,222
9515,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
2533,"Askari 5 - Sector H, Askari 5",5.0,5.0,375
12493,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
12682,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
18233,"Federal B Area - Block 8, Federal B Area",3.0,3.0,139
18734,"Karachi University Housing Society, Scheme 33",2.0,2.0,139
5173,"Safari Enclave Apartments, University Road",2.0,2.0,89
18172,"DHA Phase 5, DHA Defence",6.0,6.0,500
8136,"Shahmir Residency, University Road",4.0,4.0,120
14572,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
10024,"Bahria Apartments, Bahria Town Karachi",4.0,4.0,328
12875,"Shahra-e-Faisal, Karachi",3.0,3.0,196
17589,"Model Colony - Malir, Malir",4.0,6.0,142
17511,"Gwalior Cooperative Housing Society, Scheme 33",4.0,4.0,120
17678,"Askari 5 - Sector J, Askari 5",3.0,3.0,305
1653,"Bisma Greens, Gulistan-e-Jauhar - Block 15",4.0,5.0,244
13643,other,5.0,3.0,200
15285,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",6.0,7.0,300
15642,"DHA Phase 6, DHA Defence",5.0,5.0,500
12416,"Askari 5, Malir Cantonment",4.0,4.0,333
2790,"Karachi Administration Employees Society, Jamshed Town",3.0,3.0,139
6578,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",2.0,2.0,111
16799,other,2.0,2.0,100
1101,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",4.0,4.0,200
8495,other,4.0,5.0,350
7307,"PECHS Block 3, PECHS",3.0,3.0,189
5547,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,156
8277,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
13721,"PECHS Block 2, PECHS",3.0,4.0,200
18386,"Airport, Karachi",2.0,2.0,99
10064,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
1587,other,2.0,2.0,111
17794,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",2.0,2.0,117
13723,"North Town Residency, Surjani Town",2.0,2.0,80
15797,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",3.0,3.0,180
3876,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",2.0,2.0,100
14259,"Allahwala Town - Sector 31-B, Allahwala Town",2.0,2.0,50
12975,"North Nazimabad - Block H, North Nazimabad",3.0,3.0,256
9727,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
13576,"Bahria Town - Precinct 6, Bahria Town Karachi",2.0,2.0,117
3278,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
2738,"DHA Phase 4, DHA Defence",2.0,2.0,100
9654,"Askari 5, Malir Cantonment",3.0,3.0,286
1905,"Bahadurabad, Gulshan-e-Iqbal Town",4.0,3.0,156
16166,"Scheme 33, Karachi",2.0,2.0,94
4810,"DHA Phase 6, DHA Defence",6.0,6.0,500
11386,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",6.0,6.0,240
1360,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,4.0,200
3664,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
1788,"Emaar Panorama, DHA Phase 8",1.0,2.0,153
6177,other,5.0,3.0,270
7954,"DHA Phase 7 Extension, DHA Defence",4.0,4.0,120
9292,"Bahria Central Park Apartments, Bahria Town Karachi",2.0,2.0,122
8485,"Falcon Complex New Malir, Malir",5.0,5.0,500
17393,"Khalid Bin Walid Road, Karachi",3.0,4.0,222
11197,"DHA Phase 6, DHA Defence",6.0,6.0,500
18413,"Gulshan-e-Maymar - Sector Z, Gulshan-e-Maymar",6.0,6.0,200
17201,"Diamond City, Gulshan-e-Maymar",8.0,5.0,100
13598,"DHA Phase 2, DHA Defence",9.0,6.0,609
10330,"Naya Nazimabad - Block A, Naya Nazimabad",4.0,4.0,120
15827,"North Nazimabad - Block N, North Nazimabad",2.0,2.0,94
18679,other,2.0,2.0,78
15348,"DHA Phase 6, DHA Defence",6.0,7.0,500
18302,"Shahra-e-Faisal, Karachi",3.0,4.0,196
864,"Bahria Town Karachi, Karachi",5.0,5.0,500
15174,"Saima Presidency, Malir Cantonment",3.0,3.0,178
7593,"SMCHS - Sindhi Muslim Society, Jamshed Town",6.0,6.0,300
74,"DHA Phase 6, DHA Defence",6.0,6.0,500
13586,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,350
4710,"Shaheed Millat Road, Karachi",3.0,4.0,200
11435,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",6.0,6.0,400
181,other,3.0,4.0,233
3948,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",1.0,1.0,74
7991,"Bahria Town Karachi, Karachi",2.0,2.0,35
18500,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",4.0,5.0,120
8337,"Bahria Town Karachi, Karachi",4.0,4.0,250
3875,"Allahwala Town - Sector 31-G, Allahwala Town",3.0,3.0,84
4908,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,2.0,128
13795,"Clifton - Block 5, Clifton",7.0,6.0,389
15394,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
14538,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,178
5789,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",2.0,2.0,106
8339,"Bahria Town Karachi, Karachi",4.0,4.0,250
7810,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",4.0,4.0,250
16873,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,3.0,180
18244,"Saadi Town - Block 3, Saadi Town",4.0,6.0,120
14359,"DHA Phase 6, DHA Defence",2.0,2.0,100
17159,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
1969,"Bahria Town Karachi, Karachi",3.0,3.0,45
13923,other,2.0,2.0,117
3647,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
9504,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
4790,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",6.0,6.0,200
796,"Saima Arabian Villas, Gadap Town",3.0,3.0,160
6099,"DHA Phase 7 Extension, DHA Defence",6.0,6.0,500
10331,"North Karachi, Karachi",6.0,4.0,100
18281,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",2.0,2.0,117
15537,"Clifton - Block 2, Clifton",4.0,4.0,467
16519,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
3496,other,4.0,4.0,335
4331,"Emaar Panorama, DHA Phase 8",4.0,4.0,391
4887,"DHA Phase 8, DHA Defence",6.0,6.0,500
15859,"DHA Phase 2, DHA Defence",3.0,3.0,500
2552,"Bahria Town - Precinct 20, Bahria Town Karachi",6.0,7.0,500
3230,other,2.0,2.0,89
5679,"DHA Phase 7, DHA Defence",6.0,7.0,500
2281,"Emaar Coral Towers, Emaar Crescent Bay",4.0,5.0,272
9949,"Gulshan-e-Ghazian, Scheme 33 - Sector 51-A",3.0,3.0,156
11795,"Bahria Town - Precinct 30, Bahria Town Karachi",5.0,6.0,250
14762,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
10515,"Creek Vista, DHA Phase 8",4.0,5.0,467
1064,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,2.0,133
15605,"Bahria Town - Precinct 4, Bahria Town Karachi",5.0,5.0,500
7865,"Emaar Crescent Bay, DHA Phase 8",4.0,6.0,289
16533,"Ittehad Commercial Area, DHA Phase 6",3.0,3.0,156
6511,"Clifton - Block 2, Clifton",3.0,3.0,183
8009,"Emaar Reef Towers, Emaar Crescent Bay",2.0,3.0,186
14374,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
9470,"Bahria Town - Precinct 1, Bahria Town Karachi",5.0,5.0,250
10974,"HMR Waterfront, DHA Phase 8",3.0,4.0,309
15117,"Bisma Greens, Gulistan-e-Jauhar - Block 15",3.0,4.0,200
18129,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",7.0,6.0,400
15413,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",4.0,4.0,400
9448,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
439,"DHA Phase 4, DHA Defence",4.0,5.0,300
14518,"Gulshan-e-Iqbal Town, Karachi",4.0,4.0,120
16496,other,4.0,4.0,120
14208,"DHA Phase 8, DHA Defence",2.0,2.0,233
17315,other,5.0,5.0,200
7303,"Model Colony - Malir, Malir",6.0,6.0,100
15925,"DHA Phase 8, DHA Defence",6.0,6.0,500
8289,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
4143,"Badar Commercial Area, DHA Phase 5",2.0,2.0,100
11464,"City Tower And Shopping Mall, University Road",3.0,3.0,178
8158,"Askari 5, Malir Cantonment",3.0,4.0,252
5149,"Falaknaz Presidency, Malir",4.0,4.0,218
4546,other,3.0,2.0,120
9355,other,2.0,2.0,83
3444,"Clifton - Block 1, Clifton",4.0,4.0,333
13414,"Emaar Panorama, DHA Phase 8",4.0,5.0,444
1539,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,131
7818,"DHA Phase 6, DHA Defence",6.0,6.0,666
2001,other,2.0,2.0,72
17204,"Saima Arabian Villas, Gadap Town",3.0,3.0,240
6895,"Model Colony - Malir, Malir",4.0,6.0,131
378,"Bahria Town - Precinct 35, Bahria Sports City",4.0,4.0,350
798,"Saima Arabian Villas, Gadap Town",2.0,2.0,120
5970,other,3.0,3.0,311
18766,"DHA Phase 6, DHA Defence",5.0,5.0,500
5876,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",4.0,4.0,100
7289,"Bahria Town - Ali Block, Bahria Town - Precinct 12",4.0,4.0,125
13608,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,4.0,189
10374,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
17113,"Askari 5, Malir Cantonment",3.0,3.0,289
6206,"Askari 5 - Sector J, Askari 5",3.0,4.0,305
13193,"DHA Phase 8, DHA Defence",7.0,6.0,500
8025,"DHA Phase 7 Extension, DHA Defence",3.0,3.0,100
16613,"North Nazimabad - Block L, North Nazimabad",6.0,6.0,450
3038,"Badar Commercial Area, DHA Phase 5",2.0,2.0,111
12288,"North Nazimabad - Block H, North Nazimabad",2.0,2.0,106
3837,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,161
11083,"Rahat Commercial Area, DHA Phase 6",3.0,4.0,200
10517,"North Nazimabad - Block B, North Nazimabad",6.0,6.0,200
2246,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",6.0,6.0,120
16001,"Allahwala Town - Sector 31-B, Allahwala Town",2.0,2.0,50
1715,"Gulzar-e-Hijri, Scheme 33",2.0,2.0,89
4984,other,4.0,4.0,160
16326,"Clifton - Block 5, Clifton",3.0,3.0,189
16062,"Gulshan-e-Maymar, Gadap Town",6.0,7.0,266
10495,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
18931,other,2.0,2.0,130
2947,"Askari 5 - Sector J, Askari 5",3.0,3.0,304
3506,"Bahria Town Karachi, Karachi",2.0,2.0,106
10130,"Clifton - Block 4, Clifton",3.0,3.0,200
4847,"Bahria Town - Precinct 15, Bahria Town Karachi",3.0,3.0,125
1622,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",3.0,3.0,217
8132,"Shahmir Residency, University Road",4.0,4.0,120
13303,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
7244,"Shaheed Millat Road, Karachi",3.0,3.0,161
15778,"North Nazimabad - Block L, North Nazimabad",6.0,6.0,233
14122,"Falaknaz Dreams, Malir",3.0,3.0,120
9439,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
14647,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
8660,"DHA Phase 8, DHA Defence",1.0,2.0,161
16980,"Frere Town, Karachi",3.0,3.0,256
4854,"Clifton, Karachi",4.0,4.0,222
17273,"Gulistan-e-Jauhar, Karachi",4.0,4.0,300
6528,other,4.0,4.0,64
259,"Federal B Area - Block 10, Federal B Area",8.0,6.0,400
16964,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
